description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Hot chocolate / Cocoa, ready to drink",6.67,36.69,1.1,0.62
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",6.67,31.45,1.12,0.02
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",6.57,32.26,0.51,0.44
"Hot chocolate / Cocoa, ready to drink, with whipped cream",6.4,41.53,1.1,1.28
"Chocolate milk, made from dry mix with whole milk",3.99,33.06,1.35,1.27
"Chocolate milk, made from dry mix with reduced fat milk",4.09,29.03,1.38,0.77
"Chocolate milk, made from dry mix with fat free milk",4.1,22.98,1.41,0.09
"Chocolate milk, made from dry mix with non-dairy milk",3.99,23.79,0.71,0.56
"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",4.07,29.84,1.38,0.87
"Chocolate milk, made from dry mix with whole milk (Nesquik)",3.99,33.06,1.35,1.27
"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",4.09,29.03,1.38,0.77
"Chocolate milk, made from dry mix with low fat milk (Nesquik)",4.2,26.21,1.39,0.42
"Chocolate milk, made from dry mix with fat free milk (Nesquik)",4.1,22.98,1.41,0.09
"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",3.99,23.79,0.71,0.56
"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",3.08,25.4,1.46,0.81
"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",2.97,20.16,0.76,0.59
"Chocolate milk, made from syrup, NS as to type of milk",5.3,32.66,1.17,0.75
"Chocolate milk, made from syrup with whole milk",5.23,35.89,1.14,1.12
"Chocolate milk, made from syrup with reduced fat milk",5.32,31.85,1.17,0.67
"Chocolate milk, made from syrup with low fat milk",5.42,29.44,1.18,0.33
"Chocolate milk, made from syrup with fat free milk",5.33,26.21,1.2,0.03
"Chocolate milk, made from syrup with non-dairy milk",5.22,27.42,0.55,0.46
"Chocolate milk, made from light syrup with whole milk",3.38,29.44,1.23,1.18
"Chocolate milk, made from light syrup with reduced fat milk",3.48,25.4,1.25,0.72
"Chocolate milk, made from light syrup with low fat milk",3.58,22.98,1.26,0.38
"Chocolate milk, made from light syrup with fat free milk",3.48,19.76,1.28,0.08
"Chocolate milk, made from sugar free syrup with whole milk",2.35,23.79,1.3,1.23
"Hot chocolate / Cocoa, made with dry mix and water",4.6,21.77,0.37,0.22
"Hot chocolate / Cocoa, made with dry mix and whole milk",6.1,42.74,1.5,1.33
"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",6.19,38.71,1.53,0.88
"Hot chocolate / Cocoa, made with dry mix and low fat milk",6.29,36.29,1.54,0.55
"Hot chocolate / Cocoa, made with dry mix and fat free milk",6.2,33.06,1.56,0.24
"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",6.07,33.87,0.9,0.68
"Hot chocolate / Cocoa, made with no sugar added dry mix and water",3.06,15.98,0.66,0.13
"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",5.05,43.22,2.14,1.6
"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",5.17,38.19,2.18,1.0
"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",5.3,35.18,2.19,0.56
"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",5.18,31.16,2.21,0.16
"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",5.03,32.16,1.35,0.73
"Strawberry milk, NFS",17.23,167.74,10.77,6.13
"Strawberry milk, whole",4.75,34.68,1.22,1.2
"Strawberry milk, reduced fat",4.31,28.63,1.27,0.73
"Strawberry milk, low fat",4.96,27.82,1.26,0.36
"Strawberry milk, fat free",38.9,196.77,10.26,0.29
"Strawberry milk, reduced sugar",2.85,20.16,1.33,0.38
"Strawberry milk, non-dairy",4.75,25.4,0.58,0.5
"Milk, malted",3.38,25.78,1.25,0.8
Eggnog,3.14,34.38,1.78,1.64
"Milk shake, home recipe, chocolate",48.32,428.57,12.39,21.93
"Milk shake, home recipe, flavors other than chocolate",40.68,403.57,11.96,21.36
"Milk shake, home recipe, chocolate, light",46.18,346.43,14.25,11.82
"Milk shake, home recipe, flavors other than chocolate, light",49.39,328.57,13.86,8.32
Milk shake with malt,48.71,446.43,13.43,21.82
"Milk shake, fast food, chocolate",5.03,37.04,0.91,1.64
"Milk shake, fast food, flavors other than chocolate",4.84,36.54,0.83,1.61
"Milk shake, bottled, chocolate",65.68,483.87,11.94,21.48
"Milk shake, bottled, flavors other than chocolate",63.19,477.42,10.87,21.03
Licuado or Batido,48.52,277.78,8.63,5.37
"Fruit smoothie, NFS",43.19,240.74,8.7,4.07
"Fruit smoothie, with whole fruit and dairy",43.22,240.74,8.7,4.07
"Fruit smoothie, with whole fruit and dairy, added protein",35.93,288.89,27.33,4.63
"Fruit smoothie juice drink, with dairy",55.74,240.74,3.19,0.52
Chocolate milk drink,4.31,19.76,0.26,0.16
"Infant formula, NFS",23.34,216.39,4.52,11.67
"Infant formula, Similac, NFS",22.62,213.11,4.49,11.8
"Infant formula, Similac Alimentum, ready-to-feed",22.2,219.67,5.9,11.9
"Infant formula, Similac Alimentum, powder, made with water",22.2,219.67,5.9,11.9
