description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Fish, trout, NFS",13.02,301.11,18.98,18.74
"Fish, trout, baked or broiled",0.01,240.0,27.53,13.57
"Fish, trout, grilled",0.0,221.11,28.09,11.22
"Fish, trout, baked or broiled, coated",8.66,253.33,24.64,12.59
"Fish, trout, fried",13.02,301.11,18.98,18.74
"Fish, trout, steamed",0.0,197.78,27.99,8.68
"Fish, tuna, raw",0.0,80.74,18.07,0.36
"Fish, tuna, NFS",0.09,94.44,21.11,1.04
"Fish, tuna, cooked",0.01,195.56,33.68,5.71
"Fish, tuna, canned",0.06,62.96,14.07,0.7
"Fish, whiting, NFS",13.02,258.89,17.6,14.63
"Fish, whiting, baked or broiled",0.01,170.0,25.28,6.84
"Fish, whiting, grilled",0.0,148.89,25.8,4.37
"Fish, whiting, baked or broiled, coated",8.66,193.33,22.74,6.91
"Fish, whiting, fried",13.02,258.89,17.6,14.63
"Fish, whiting, steamed",0.0,126.67,25.7,1.84
"Fish, tilapia, NFS",0.01,177.78,27.72,7.39
"Fish, tilapia, baked or broiled",0.01,177.78,27.72,7.39
"Fish, tilapia, grilled",0.0,157.78,28.29,4.91
"Fish, tilapia, baked or broiled, coated",8.66,200.0,24.81,7.37
"Fish, tilapia, fried",13.02,263.33,19.09,14.96
"Fish, tilapia, steamed",0.0,134.44,28.19,2.39
"Fish, white, mixed species, NFS",0.01,158.89,24.4,6.5
"Fish, white, mixed species, baked or broiled",0.01,158.89,24.4,6.5
"Fish, white, mixed species, baked or broiled, coated",8.66,184.44,21.97,6.61
"Fish, white, mixed species, fried",13.02,252.22,17.02,14.4
"Fish, white, mixed species, steamed",0.0,115.56,24.81,1.48
"Fish, white, mixed species, grilled",0.0,138.89,24.9,4.0
Frog legs,46.88,880.0,57.52,49.6
Octopus,9.92,167.41,9.81,9.6
Caviar,25.0,1650.0,153.75,111.87
"Calamari, cooked",25.53,1033.33,129.07,41.67
"Calamari, fried",93.73,1560.0,91.73,88.13
Turtle,0.0,116.3,18.21,4.3
"Shellfish, NFS",3.63,108.15,11.45,4.94
Abalone,5.53,131.11,15.73,4.53
"Clams, raw",23.8,573.33,97.8,6.4
"Clams, NFS",44.93,953.33,107.6,34.67
"Clams, baked or broiled",29.6,986.67,121.53,38.2
"Clams, fried",96.2,1533.33,87.13,86.0
"Clams, steamed or boiled",30.13,726.67,123.8,8.13
"Clams, canned",1.98,48.0,8.15,0.53
Crab,0.0,207.5,44.7,1.85
"Crab, canned",0.0,61.48,13.24,0.55
"Crab, soft shell",18.03,349.23,23.86,19.58
"Crayfish, fried",78.13,1486.67,93.73,85.93
"Crayfish, cooked",0.0,646.67,134.8,8.0
Lobster,0.0,48.5,10.46,0.48
Mussels,31.13,726.67,100.4,18.93
"Oysters, raw",18.13,340.0,38.07,11.4
"Oysters, baked or broiled",22.6,693.33,47.4,44.4
"Oysters, steamed",22.93,433.33,48.2,14.4
"Oysters, fried",91.93,1353.33,41.73,89.8
"Oysters, canned",28.33,493.33,51.13,17.87
"Scallops, baked or broiled",26.4,840.0,99.93,34.27
"Scallops, grilled",26.93,720.0,102.0,19.27
"Scallops, steamed or boiled",26.8,580.0,101.6,4.13
"Scallops, fried",94.27,1446.67,73.87,83.6
"Shrimp, NFS",98.0,2920.0,309.2,133.4
"Shrimp, baked or broiled",22.8,2580.0,338.4,115.8
"Shrimp, grilled",23.2,2200.0,345.2,71.0
"Shrimp, steamed or boiled",23.0,1800.0,343.8,25.6
"Shrimp, fried",248.2,4360.0,245.2,258.8
"Shrimp, baked or broiled, coated",174.8,3080.0,311.0,118.2
"Shrimp, dried",0.0,185.19,37.81,2.52
"Shrimp, canned",0.0,74.07,15.13,1.01
Escargot,49.6,3160.0,399.8,138.2
"Barbecue meat, NFS",5.1,94.17,7.56,4.65
Beef with tomato-based sauce,0.63,59.84,8.72,2.55
Beef goulash,1.18,41.77,5.5,1.52
Beef burgundy,1.72,60.66,7.57,2.46
"Beef stew, no potatoes, tomato-based sauce, Mexican style",1.37,47.13,6.07,1.8
"Chili con carne, NS as to beans",2.84,38.19,3.17,1.66
"Chili con carne with beans, from restaurant",1.8,61.81,4.94,3.85
"Chili con carne with beans, home recipe",2.84,38.19,3.17,1.66
"Chili con carne with beans, canned",5.16,42.13,2.28,1.37
Chili con carne with beans,4.06,40.16,2.7,1.5
Chili con carne without beans,2.4,46.46,2.96,2.8
"Chili con carne, NS as to beans, with cheese",4.94,48.43,2.65,2.0
Chili con carne with beans and cheese,4.94,48.43,2.65,2.0
"Sloppy joe, no bun",2.65,58.0,4.91,3.06
Beef with gravy,0.65,63.93,8.84,2.89
Salisbury steak with gravy,5.26,115.5,5.41,8.12
Beef with cream or white sauce,1.07,72.27,8.79,3.64
Beef stroganoff,2.35,58.59,3.88,3.75
Creamed chipped or dried beef,3.08,54.07,3.11,3.27
Swedish meatballs with cream or white sauce,2.59,69.11,5.07,4.19
Beef with mushroom sauce,0.71,63.67,8.58,2.95
Beef with soy-based sauce,1.37,76.64,6.5,5.07
Steak teriyaki,0.8,81.15,11.83,3.38
Beef curry,2.69,46.67,3.15,2.72
Beef curry with rice,7.54,59.5,2.8,2.02
"Barbecue beef, with sauce",5.1,95.0,8.26,4.5
"Barbecue beef, no sauce",0.0,186.67,20.72,11.22
Beef with sweet and sour sauce,5.61,83.33,3.69,5.08
"Stewed seasoned ground beef, Mexican style",0.58,75.68,6.43,5.13
Steak tartare,0.15,96.0,7.76,6.93
"Meatballs, Puerto Rican style",13.8,450.0,28.66,30.62
"Stewed seasoned ground beef, Puerto Rican style",1.91,138.5,6.88,11.4
"Stewed dried beef, Puerto Rican style",1.95,128.5,8.85,9.56
"Stuffed pot roast, Puerto Rican style, NFS",0.9,189.55,13.91,14.04
"Beef stew, meat with gravy, no potatoes, Puerto Rican style",0.78,99.57,7.03,7.46
Ham or pork with gravy,0.65,65.57,8.26,3.07
"Barbecue pork, with sauce",5.1,94.17,7.32,4.71
"Barbecue pork, no sauce",0.0,184.44,18.33,11.76
Sweet and sour pork,11.28,115.04,3.93,6.02
Ham stroganoff,2.04,53.69,3.06,3.76
Ham or pork with mushroom sauce,0.75,68.44,8.42,3.27
Ham or pork with tomato-based sauce,0.64,61.45,8.15,2.73
Sausage with tomato-based sauce,1.04,94.35,5.35,7.7
Sausage gravy,3.19,75.0,2.82,5.67
"Pork stew, no potatoes, tomato-based sauce, Mexican style",1.37,45.9,5.87,1.75
Pork or ham with soy-based sauce,1.37,77.87,6.1,5.2
"Chili hot dog, no bun",6.63,162.4,6.86,12.02
Frankfurters or hot dogs with tomato-based sauce,1.48,91.39,3.49,8.04
Pork with chili and tomatoes,1.14,40.25,4.93,1.69
"Stewed pork, Puerto Rican style",1.37,100.0,8.96,6.34
"Chili con carne with beans, made with pork",2.83,41.73,3.18,2.02
Lamb or mutton with gravy,0.65,89.75,7.09,6.3
"Stewed goat, Puerto Rican style",1.12,149.72,12.61,10.21
Veal with gravy,0.65,65.98,10.41,2.13
Veal scallopini,1.53,251.04,19.49,18.2
Veal with cream sauce,1.12,77.24,10.7,3.03
Veal with butter sauce,0.8,81.91,8.03,4.98
Veal Marsala,6.98,182.29,17.38,9.02
Veal parmigiana,4.58,112.09,8.42,6.55
Veal cordon bleu,4.06,110.92,9.04,6.29
Venison or deer with tomato-based sauce,0.64,56.22,10.3,1.14
Venison or deer with gravy,0.65,60.25,10.44,1.45
Chili con carne with venison/deer and beans,2.84,31.5,3.25,0.87
Chicken or turkey cacciatore,2.84,71.31,5.41,4.35
Spaghetti sauce with poultry,2.52,28.85,2.42,1.01
Spaghetti sauce with poultry and added vegetables,2.32,27.31,2.46,0.92
"Stewed chicken with tomato-based sauce, Mexican style",1.01,49.18,4.91,2.9
Chili con carne with chicken or turkey and beans,2.9,33.07,3.31,1.05
Chicken with gravy,0.65,52.87,7.74,2.14
Chicken or turkey fricassee,1.45,49.59,4.38,2.93
Turkey with gravy,0.65,51.23,8.39,1.42
Chicken or turkey with cream sauce,1.14,65.15,8.22,3.1
Chicken or turkey with mushroom sauce,0.72,53.12,7.54,2.23
Chicken or turkey with teriyaki,0.66,66.8,10.55,2.44
Barbecue chicken,5.1,69.58,7.92,1.93
Sweet and sour chicken or turkey,9.47,99.21,4.01,5.02
"Sweet and sour chicken or turkey, without vegetables",9.47,99.21,4.01,5.02
Chicken curry,2.7,44.17,2.7,2.69
Chicken curry with rice,7.54,58.0,2.48,1.99
Chicken with mole sauce,1.32,56.15,7.77,2.29
Chicken or turkey with cheese sauce,0.68,71.78,9.03,3.69
Chicken or turkey cordon bleu,4.06,91.7,9.89,4.0
Chicken or turkey parmigiana,4.56,95.6,8.93,4.58
Orange chicken,8.91,103.97,5.74,5.03
Sesame chicken,10.67,116.27,5.69,5.65
Chicken kiev,2.11,108.53,8.26,7.45
"Stuffed chicken, drumstick or breast, Puerto Rican style",3.1,111.43,13.37,4.97
"Fish with cream or white sauce, not tuna or lobster",1.1,46.59,6.85,1.46
Fish timbale or mousse,1.03,84.57,5.84,6.31
Shrimp cocktail,3.17,39.6,5.3,0.49
Tuna with cream or white sauce,1.19,43.04,6.08,1.57
Seafood thermidor,1.86,100.4,4.26,8.46
Seafood sauce,15.69,1268.75,53.31,109.06
Spaghetti sauce with seafood,2.73,24.62,2.05,0.57
Spaghetti sauce with seafood and added vegetables,2.53,23.08,2.09,0.48
Shrimp with lobster sauce,1.17,81.62,9.07,4.24
Sweet and sour shrimp,9.15,97.16,3.36,5.23
Fish sauce,22.75,218.75,31.62,0.06
Shrimp scampi,0.91,76.8,6.16,5.19
Fish with tomato-based sauce,0.72,36.04,7.33,0.31
Fish curry,2.74,38.33,2.05,2.24
Fish curry with rice,7.58,53.5,2.02,1.67
Shrimp teriyaki,1.66,59.7,10.76,0.78
Ceviche,1.43,25.2,4.21,0.3
"Crabs in tomato-based sauce, Puerto Rican style",1.72,84.71,7.36,5.24
"Shrimp in garlic sauce, Puerto Rican style",1.14,132.55,5.45,11.78
Bacalao guisado,1.85,38.4,3.69,1.81
"Meatballs, NS as to type of meat, with sauce",0.06,79.15,7.67,5.11
"Meat loaf, Puerto Rican style",11.26,342.11,20.89,23.16
Meat with tomato-based sauce,0.63,59.84,8.72,2.55
Spaghetti sauce with meat,2.52,34.62,2.28,1.68
Spaghetti sauce with meat and added vegetables,2.32,33.08,2.32,1.59
"Stewed, seasoned, ground beef and pork, Mexican style",0.65,62.61,7.53,3.15
"Meat with gravy, NS as to type of meat,",0.65,63.93,8.84,2.89
"Beef and potatoes, no sauce",7.64,70.0,4.17,2.59
"Beef stew with potatoes, tomato-based sauce, Mexican style",2.66,45.08,5.11,1.48
"Beef and potatoes with cream sauce, white sauce or mushroom sauce",3.44,40.08,3.07,1.52
"Beef, roast, hash",5.65,87.37,6.42,4.26
Corned beef hash,4.21,74.55,3.97,4.65
Beef and potatoes with cheese sauce,4.46,50.6,3.27,2.25
"Stewed, seasoned, ground beef with potatoes, Mexican style",2.51,61.71,4.7,3.55
"Beef and noodles, no sauce",10.41,121.15,7.29,5.39
Beef and macaroni with cheese sauce,5.0,55.69,3.71,2.2
Beef and noodles with tomato-based sauce,4.29,46.18,3.51,1.58
Chili con carne with beans and macaroni,6.68,46.64,2.29,1.15
Beef goulash with noodles,4.4,57.03,5.02,2.05
Beef and noodles with gravy,6.18,55.82,3.09,2.04
Beef and noodles with cream or white sauce,6.03,56.22,3.16,2.14
Beef stroganoff with noodles,3.46,50.39,3.0,2.73
Beef and noodles with mushroom sauce,6.01,54.62,3.03,2.06
Beef and noodles with soy-based sauce,3.03,69.48,5.3,4.04
"Beef and rice, no sauce",8.79,74.49,3.71,2.55
Biryani with meat,6.22,73.98,4.34,3.46
Beef and rice with tomato-based sauce,6.51,55.74,2.62,2.11
Porcupine balls with tomato-based sauce,7.61,86.93,5.89,3.53
Beef and rice with gravy,7.2,61.71,2.83,2.31
Beef and rice with cream sauce,6.41,56.05,2.7,2.11
Beef and rice with mushroom sauce,6.26,54.44,2.52,2.09
Porcupine balls with mushroom sauce,6.09,89.2,5.88,4.41
Beef and rice with soy-based sauce,3.26,72.95,5.57,4.2
Beef and rice with cheese sauce,5.9,57.26,3.25,2.17
Meat loaf made with beef,8.37,231.4,20.33,12.47
"Meat loaf made with beef, with tomato-based sauce",6.21,145.87,12.64,7.66
Beef wellington,8.84,317.24,16.52,23.65
Corned beef patty,9.27,164.0,8.73,10.24
"Stuffed pot roast, with potatoes, Puerto Rican style",4.08,182.11,12.84,12.4
"Beef stew with potatoes, Puerto Rican style",3.08,103.77,6.87,7.0
"Stewed corned beef, Puerto Rican style",3.68,70.36,4.8,3.98
Meat loaf made with ham,7.16,208.14,24.01,8.74
Ham and noodles with cream or white sauce,6.28,56.97,2.79,2.23
Ham and rice with mushroom sauce,6.56,54.84,2.17,2.09
Ham or pork with stuffing,5.22,71.5,3.13,4.14
Ham croquette,4.19,440.32,28.98,33.45
Pork and rice with tomato-based sauce,6.88,57.38,2.63,2.05
Sausage and rice with tomato-based sauce,6.72,54.92,1.9,2.25
Sausage and rice with mushroom sauce,6.89,58.2,1.99,2.47
Sausage and rice with cheese sauce,5.71,61.89,2.59,3.12
Sausage and noodles with cream or white sauce,6.08,62.7,2.42,3.2
"Ham and noodles, no sauce",10.11,91.72,4.55,3.53
"Ham or pork and rice, no sauce",8.57,72.96,3.43,2.55
Ham or pork and potatoes with gravy,4.63,50.0,2.14,2.51
Ham or pork and potatoes with cheese sauce,4.46,51.0,3.16,2.29
"Stewed pig's feet, Puerto Rican style",2.24,73.91,5.43,4.73
"Stuffed pork roast, Puerto Rican style",1.58,132.5,15.62,6.76
"Pork stew, with potatoes, tomato-based sauce, Mexican style",2.08,44.67,5.36,1.58
Lamb or mutton loaf,8.65,212.79,15.21,12.92
Lamb or mutton and potatoes with gravy,4.97,51.19,2.04,2.56
Lamb or mutton and potatoes with tomato-based sauce,4.95,50.0,2.09,2.47
Lamb or mutton and noodles with gravy,6.28,56.63,2.73,2.2
Meat loaf made with venison/deer,7.34,193.02,22.12,7.83
Veal and noodles with cream or white sauce,6.46,64.29,3.73,2.55
Venison or deer and noodles with cream or white sauce,5.82,56.63,3.36,2.16
Chicken or turkey hash,4.29,57.37,5.07,2.16
Chicken or turkey and potatoes with gravy,3.69,50.0,3.01,2.61
"Chicken or turkey and noodles, no sauce",9.85,94.27,4.92,3.91
Chicken or turkey and noodles with gravy,6.8,62.5,3.12,2.53
Chicken or turkey and noodles with mushroom sauce,6.63,60.71,3.09,2.44
Chicken or turkey and noodles with cream or white sauce,6.8,62.5,3.3,2.46
Chicken or turkey and noodles with cheese sauce,6.05,65.18,4.0,2.75
Chicken or turkey tetrazzini,2.83,48.37,4.86,1.95
Chicken or turkey and noodles with tomato-based sauce,6.77,61.16,3.18,2.43
Chicken or turkey and noodles with soy-based sauce,3.39,70.09,5.18,4.03
"Chicken or turkey and rice, no sauce",8.66,76.02,3.3,2.98
Biryani with chicken,6.91,53.06,3.65,1.21
Chicken or turkey and rice with cream sauce,5.15,54.84,3.28,2.36
Chicken or turkey and rice with mushroom sauce,6.22,54.44,2.29,2.21
Chicken or turkey and rice with tomato-based sauce,6.42,58.2,2.34,2.53
Chicken or turkey and rice with soy-based sauce,3.28,66.39,4.91,3.77
Chicken or turkey with dumplings,3.3,59.02,6.43,2.27
Chicken or turkey with stuffing,5.87,86.0,10.02,2.44
"Chicken or turkey cake, patty, or croquette",3.05,308.24,24.51,22.06
Chicken or turkey souffle,3.52,107.55,7.37,7.13
Meat loaf made with chicken or turkey,9.4,200.0,21.83,8.45
"Meat loaf made with chicken or turkey, with tomato-based sauce",6.69,133.03,14.18,5.69
"Crab, cake",5.27,251.76,16.94,17.61
"Fish, cake or patty",12.24,249.41,16.04,14.87
Gefilte fish,3.5,44.4,4.98,1.04
"Fish, salmon cake or patty",5.25,335.29,18.91,26.0
Scallops and noodles with cheese sauce,6.72,64.73,3.78,2.52
"Shrimp and noodles, no sauce",10.46,92.99,4.65,3.5
Shrimp and noodles with gravy,6.56,58.48,2.69,2.31
Shrimp and noodles with mushroom sauce,6.72,59.38,2.82,2.34
Shrimp and noodles with cream or white sauce,7.25,63.84,3.19,2.38
Shrimp and noodles with soy-based sauce,3.65,62.95,4.56,3.24
Shrimp and noodles with cheese sauce,6.0,60.71,3.65,2.4
Shrimp and noodles with tomato sauce,6.87,59.82,2.88,2.33
Tuna loaf,8.9,221.9,20.05,11.41
Tuna cake or patty,2.21,171.67,12.78,12.43
Clam cake or patty,5.66,205.0,15.85,12.79
Flounder with crab stuffing,2.73,64.76,7.18,2.63
"Lobster with bread stuffing, baked",2.46,44.25,3.74,2.06
Clams Casino,34.13,536.67,39.5,26.4
"Shrimp, cake or patty",6.19,256.47,16.39,18.05
Shrimp with crab stuffing,4.4,124.29,11.71,6.44
Shrimp toast,25.02,462.5,17.63,32.12
Imitation crab meat,11.11,70.37,5.64,0.34
Seafood souffle,3.5,96.23,6.25,6.28
Tuna noodle casserole with cream or white sauce,6.88,75.0,4.52,3.26
Tuna noodle casserole with mushroom sauce,6.21,62.05,4.03,2.31
Tuna and rice with mushroom sauce,6.21,51.61,1.84,2.08
Fish and rice with tomato-based sauce,6.67,54.44,2.18,2.06
Fish and rice with cream sauce,6.35,53.63,2.23,2.01
Fish and rice with mushroom sauce,6.5,54.44,2.15,2.08
Fish and noodles with mushroom sauce,6.6,58.48,2.81,2.28
Shellfish and noodles with tomato-based sauce,7.03,60.27,2.94,2.25
"Stewed salmon, Puerto Rican style",4.0,68.87,5.67,3.31
"Meat loaf, NS as to type of meat",8.37,234.88,20.34,12.84
"Meatballs, with breading, NS as to type of meat, with gravy",2.67,60.85,5.2,3.2
Meat loaf made with beef and pork,8.35,227.91,20.08,12.21
"Meat loaf made with beef, veal and pork",8.35,227.91,20.08,12.21
"Meat loaf made with beef and pork, with tomato-based sauce",6.19,144.04,12.5,7.5
"Hash, NS as to type of meat",4.88,86.32,4.59,5.39
"Vienna sausages stewed with potatoes, Puerto Rican style",7.46,125.14,2.9,9.35
"Stewed, seasoned, ground beef and pork with potatoes, Mexican style",1.87,64.41,5.79,3.62
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",8.31,77.78,4.28,3.18
"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",9.24,80.86,4.3,3.15
"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",8.48,78.4,2.94,3.7
"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",9.48,78.4,2.99,3.32
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3.27,35.71,2.08,1.58
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3.37,32.54,2.63,0.94
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3.41,31.35,2.47,0.88
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3.37,32.94,2.69,0.96
Shepherd's pie,4.13,58.57,3.64,3.0
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",4.43,51.19,2.08,2.84
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",4.9,50.0,2.1,2.52
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",4.42,50.4,2.1,2.8
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",4.84,50.79,2.12,2.65
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",4.42,50.0,2.12,2.76
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",4.87,50.0,2.14,2.6
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",4.69,50.4,3.23,2.15
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",5.15,51.98,3.24,2.15
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",2.37,59.13,4.66,3.5
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",2.29,58.73,4.67,3.5
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",10.31,91.36,5.38,3.2
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",11.29,93.21,5.42,3.03
Beef chow mein or chop suey with noodles,5.08,58.64,4.9,2.22
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",3.5,64.06,4.75,3.49
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",3.41,64.06,4.79,3.52
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.52,50.6,2.71,2.03
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.97,52.21,2.72,2.04
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",5.45,50.2,2.65,2.03
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",5.88,51.81,2.66,2.02
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",5.55,51.0,2.67,2.02
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.0,52.61,2.68,2.03
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",11.35,91.98,4.65,3.0
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",12.35,91.98,4.7,2.65
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.98,52.61,2.35,2.17
"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",6.46,53.01,2.37,2.0
Stuffed cabbage rolls with beef and rice,8.39,108.74,8.17,4.87
Stuffed grape leaves with beef and rice,53.81,1085.71,38.81,81.1
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",5.9,52.21,2.32,2.1
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",6.32,53.41,2.33,2.1
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",6.24,59.04,3.45,2.21
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",6.37,57.43,3.29,2.1
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",6.03,52.61,2.32,2.08
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.48,54.22,2.33,2.08
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",3.64,65.9,4.87,3.55
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",3.56,66.82,5.0,3.66
"Pot pie, beef",11.37,128.57,4.25,7.31
"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",4.7,51.0,2.47,2.55
"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.16,52.21,2.49,2.47
"Stuffed green pepper, Puerto Rican style",6.22,60.0,3.58,2.35
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",11.3,93.21,5.2,3.03
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",10.33,91.36,5.15,3.2
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",6.36,64.32,3.81,2.66
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",8.3,79.01,4.04,3.35
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.52,50.2,2.6,2.02
"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",6.16,52.61,2.11,2.29
"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.7,51.0,2.1,2.29
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",4.46,50.79,2.0,2.8
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",4.87,50.4,2.03,2.63
"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",4.61,50.79,1.48,2.99
"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.07,50.79,1.5,2.83
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",4.45,50.0,1.98,2.71
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",4.91,50.0,2.0,2.55
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",9.22,82.1,4.07,3.36
Pork chow mein or chop suey with noodles,5.08,65.0,4.73,2.9
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",3.64,66.36,4.59,3.64
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",3.56,67.28,4.72,3.76
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",6.01,51.81,2.25,2.04
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",6.46,53.41,2.27,2.04
"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",9.27,77.78,3.43,3.12
"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",8.27,79.01,3.38,3.64
Sweet and sour pork with rice,6.72,76.23,4.02,3.61
"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.48,53.97,2.0,2.19
"Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",6.01,51.59,2.04,2.11
"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy",6.03,52.78,1.99,2.18
Stuffed grape leaves with lamb and rice,56.62,1290.48,38.9,102.48
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",4.63,38.49,3.27,0.75
"Veal fricassee, Puerto Rican style",3.14,73.91,7.12,3.52
"Stewed rabbit, Puerto Rican style,",3.12,97.72,7.83,5.8
"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3.38,28.57,2.98,0.33
"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",4.43,50.4,2.36,2.58
"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",4.88,50.4,2.38,2.42
"Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.48,52.21,2.98,2.05
"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.92,53.82,3.0,2.05
"Chicken or turkey, potatoes, corn, and cheese, with gravy",2.49,23.35,0.86,1.17
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",8.2,79.63,3.8,3.69
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",9.14,81.48,3.83,3.52
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",4.43,48.81,1.87,2.71
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",4.87,50.4,1.88,2.71
